IRI,first_name,last_name
http://www.gra.fo/publication/S__N__Maheshwari,S. N.,Maheshwari
http://www.gra.fo/publication/Scott_M__Baker,Scott M.,Baker
http://www.gra.fo/publication/Rafael_Fessel,Rafael,Fessel
http://www.gra.fo/publication/Andreas_Blass,Andreas,Blass
http://www.gra.fo/publication/Veronica_P__Tseng,Veronica P.,Tseng
http://www.gra.fo/publication/Xin_Zhang_____,Xin Zhang,0002
http://www.gra.fo/publication/Mitsuteru_Yukishita,Mitsuteru,Yukishita
http://www.gra.fo/publication/Yusuke_Yokota,Yusuke,Yokota
http://www.gra.fo/publication/Alan_M__Frisch,Alan M.,Frisch
http://www.gra.fo/publication/Julien_Basch,Julien,Basch
http://www.gra.fo/publication/Dallas_E__Wrege,Dallas E.,Wrege
http://www.gra.fo/publication/R__F__Deutscher,R. F.,Deutscher
http://www.gra.fo/publication/Inessa_Chaban,Inessa,Chaban
http://www.gra.fo/publication/Bertram_Ludäscher,Bertram,Ludäscher
http://www.gra.fo/publication/Ajit_K__Patankar,Ajit K.,Patankar
http://www.gra.fo/publication/Shaye_Koenig,Shaye,Koenig
http://www.gra.fo/publication/O__J__Murphy,O. J.,Murphy
http://www.gra.fo/publication/Hyun_Soon_Kim,Hyun Soon,Kim
http://www.gra.fo/publication/Tanveer_Fathima_Syeda_Mahmood,Tanveer Fathima,Syeda-Mahmood
http://www.gra.fo/publication/Robert_Martin_McCool,Robert Martin,McCool
http://www.gra.fo/publication/J__Israel,J.,Israel
http://www.gra.fo/publication/Charles_J__Petrie,Charles J.,Petrie
http://www.gra.fo/publication/Philip_M__Merlin,Philip M.,Merlin
http://www.gra.fo/publication/J__B__Cohen,J. B.,Cohen
http://www.gra.fo/publication/John_Hershberger_____,John Hershberger,0001
http://www.gra.fo/publication/Henry_S__Thompson,Henry S.,Thompson
http://www.gra.fo/publication/John_R__Venable,John R.,Venable
http://www.gra.fo/publication/E__H__Mamdani,E. H.,Mamdani
http://www.gra.fo/publication/Roger_W__Ehrich,Roger W.,Ehrich
http://www.gra.fo/publication/Jeffrey_Xu_Yu,Jeffrey Xu,Yu
http://www.gra.fo/publication/Anna_Hac,Anna,Hac
http://www.gra.fo/publication/Lynette_Hirschman,Lynette,Hirschman
http://www.gra.fo/publication/J__Burger,J.,Burger
http://www.gra.fo/publication/Aziz_Ait_Braham,Aziz,Ait-Braham
http://www.gra.fo/publication/J__H__Tsao,J. H.,Tsao
http://www.gra.fo/publication/Kelly_Ireland,Kelly,Ireland
http://www.gra.fo/publication/Michael_J__Fischer,Michael J.,Fischer
http://www.gra.fo/publication/Hong_Chen,Hong,Chen
http://www.gra.fo/publication/Marek_Wojciechowski_____,Marek Wojciechowski,0001
http://www.gra.fo/publication/David_H__Ackley,David H.,Ackley
http://www.gra.fo/publication/Jean_François_Groff,Jean-François,Groff
http://www.gra.fo/publication/Angelika_Kotz_Dittrich,Angelika Kotz,Dittrich
http://www.gra.fo/publication/Masayuki_Ono,Masayuki,Ono
http://www.gra.fo/publication/Arthur_A__Mirin,Arthur A.,Mirin
http://www.gra.fo/publication/H__R__Johnson,H. R.,Johnson
http://www.gra.fo/publication/Mark_Drummond,Mark,Drummond
http://www.gra.fo/publication/David_M__Ungar,David M.,Ungar
http://www.gra.fo/publication/D__R__McGregor,D. R.,McGregor
http://www.gra.fo/publication/Michael_D__Schroeder,Michael D.,Schroeder
http://www.gra.fo/publication/Jose_Perez_Carballo,Jose Perez,Carballo
http://www.gra.fo/publication/Bruce_Galler,Bruce,Galler
http://www.gra.fo/publication/Herbert_Henley,Herbert,Henley
http://www.gra.fo/publication/G__Michael_Schneider,G. Michael,Schneider
http://www.gra.fo/publication/Fiona_Hayes,Fiona,Hayes
http://www.gra.fo/publication/Mathew_J__Palakal,Mathew J.,Palakal
