author,title
http://www.gra.fo/publication/Peter_Buneman,Interaction between Path and Type Constraints.
http://www.gra.fo/publication/Peter_Buneman,Path Constraints in Semistructured and Structured Databases.
http://www.gra.fo/publication/Achim_Kraiss,Vertical Data Migration in Large Near-Line Document Archives Based on Markov-Chain Predictions.
http://www.gra.fo/publication/David_Carmel,eResponder: Electronic Question Responder.
http://www.gra.fo/publication/George_U__Hubbard,Automating Logical File Design.
http://www.gra.fo/publication/John_McCarthy_____,Notes on Formalizing Context.
http://www.gra.fo/publication/John_McCarthy_____,Epistemological Problems of Artificial Intelligence.
http://www.gra.fo/publication/Ghassan_Z__Qadah,The Equi-Join Operation on a Multiprocessor Database Machine: Algorithms and the Evaluation of their Performance.
http://www.gra.fo/publication/Gary_A__Kildall,A Unified Approach to Global Program Optimization.
http://www.gra.fo/publication/Clement_T__Yu,Adaptive Information System Design: One Query at a Time.
http://www.gra.fo/publication/Clement_T__Yu,On the Design of a Query Processing Strategy in a Distributed Database Environment.
http://www.gra.fo/publication/Clement_T__Yu,A Study on the Protection of Statistical Data Bases.
http://www.gra.fo/publication/Makoto_Haraguchi,A Foundation of Reasoning by Analogy: Analogical Union of Logic Programs.
http://www.gra.fo/publication/James_P__Callan,Searching Distributed Collections with Inference Networks.
http://www.gra.fo/publication/Douglas_R__Cutting,Scatter/Gather: A Cluster-based Approach to Browsing Large Document Collections.
http://www.gra.fo/publication/Peter_C__Lockemann,Future Database Technology: Driving Forces and Directions.
http://www.gra.fo/publication/Marisa_S__Viveros,Applying Data Mining Techniques to a Health Insurance Information System.
http://www.gra.fo/publication/Alexandra_Galatescu,Appropriateness of the Activity-centred Graphs in Information System Modelling.
http://www.gra.fo/publication/Tova_Milo,Using Schema Matching to Simplify Heterogeneous Data Translation.
http://www.gra.fo/publication/Susan_J__Eggers,A Compression Technique for Large Statistical Data-Bases
http://www.gra.fo/publication/Seung_Kyum_Kim,Modeling Time: Adequacy of Three Distinct Time Concepts for Temporal Databases.
http://www.gra.fo/publication/Jiandong_Huang,On Using Priority Inheritance In Real-Time Databases.
http://www.gra.fo/publication/Nicolas_Spyratos,An Operational Approach to Data Bases.
http://www.gra.fo/publication/R__W__Baldwin,Naming and Grouping Privileges to Simplify Security Management in Large Databases.
http://www.gra.fo/publication/Carolyn_Cline,A Comparison of Parallel Approaches to data Representation and Data Transferral.
http://www.gra.fo/publication/Laurent_Vieille,From Data Independence to Knowledge Independence: An on-going Story.
http://www.gra.fo/publication/SSDBM,"""The Analysis of Geographical Data: Data Rich"
http://www.gra.fo/publication/David_M__Ungar,Self: The Power of Simplicity.
http://www.gra.fo/publication/Alan_Snyder,Encapsulation and Inheritance in Object-Oriented Programming Languages.
http://www.gra.fo/publication/Martin_Ester,A Database Interface for Clustering in Large Spatial Databases.
http://www.gra.fo/publication/Pierre_Deransart,An Operational Formal Definition of PROLOG.
http://www.gra.fo/publication/Patrick_J__Hayes,In Defense of Logic.
http://www.gra.fo/publication/Takahiko_Shintani,Parallel Mining Algorithms for Generalized Association Rules with Classification Hierarchy.
