A Min Tjoa;conf/icde/EsmayrKPPT96|conf/er/TjoaB93|conf/er/PernulT91|conf/er/PernulWT93|conf/er/TjoaW79|conf/er/EderK86|conf/dolap/MangisengiT98;University of Pittsburgh at Bradford;http://www.upb.pitt.edu/;N/A
A. A. Kaposi;journals/cj/MarkuszK85;Symbiosis International University;http://www.siu.edu.in/;N/A
A. A. Stogniy;conf/mfdbs/MalyutaPS89;SABIC;;N/A
A. Amikam;journals/is/Amikam85;University of the West Indies St. Augustine;http://www.uwi.tt/;N/A
A. Andreassian;conf/icdcs/NoeA87;Fachhochschule St. Gallen;https://www.fhsg.ch/;N/A
A. B. Stephens;journals/tkde/StephensYH94;Prince Mohammad Bin Fahd University;http://www.pmu.edu.sa/;N/A
A. Baden;conf/ssdbm/GrossmanQVXDLMQMLMPBCLLNSS94;Université Hassan Ier - Settat;http://www.uh1.ac.ma/;N/A
A. Bagchi;journals/jacm/MahantiB85;Jinnah University for Women;http://www.juw.edu.pk/;N/A
A. Balaraman;conf/er/NavatheB91;Peugeot;;N/A
A. Bendell;journals/cj/SamsonB85;Université d'Aix-Marseille III;http://www.u-3mrs.fr/;N/A
A. Bensoussan;journals/cacm/BensoussanCD72;Blessing-Rieman College of Nursing;http://www.brcn.edu/;N/A
A. Bilodeau;conf/icse/PotierAFB82;Hoffmann-La Roche;;N/A
A. Birnie;conf/pos/AtkinsonBJP92;Kamrah International Institute of Technology (KIIT);http://www.kiit.in/;N/A
A. Bolour;journals/sigmod/BolourADW82|journals/is/BolourD83;University of Ghana;http://www.ug.edu.gh/;N/A
A. Bradier;conf/parle/Gonzalez-RubioRB87;Exor;;N/A
A. Braun;conf/gis/BrinkhoffKSB95;Persian Gulf University;http://www.pgu.ac.ir/;N/A
A. Bruffaerts;conf/iclp/BruffaertsH88;Ecole Centrale de Lyon;http://www.ec-lyon.fr/;N/A
A. C. McKellar;journals/cacm/McKellarC69;Universitas Siliwangi;http://www.unsil.ac.id/;N/A
A. Carlisle Scott;journals/aim/SuwaSS82;Ibaraki Prefectural University of Health Sciences;http://www.ipu.ac.jp/;N/A
A. Cheng;conf/er/NavatheC83;Chiang Mai Vocational College;http://www.cmvc.ac.th/;N/A
A. Chesnais;journals/cacm/ChesnaisGM83;Jardine Matheson;;N/A
A. Christensen;conf/vldb/ChristensenZ87;Universidad Nacional de General Sarmiento;http://www.ungs.edu.ar/;N/A
A. D. Smet;conf/icde/BelfordLCCEGHKKLMMSYZRL84;Groupe Sup de Co Amiens Picardie;http://www.supco-amiens.fr/;N/A
A. Datta;conf/ssdbm/FournierHO86;University of Perugia;http://www.unipg.it/;N/A
A. Desai Narasimhalu;journals/mms/WuNMLG95|journals/mms/WuALLN94|journals/mta/NarasimhaluKW97|journals/mta/WuLMGN96|journals/ieeemm/WuN94|journals/computer/NarasimhaluC91|conf/vdb/LeongSN89|conf/mm/WuALMN93;Universidade Federal do Rio de Janeiro;http://www.ufrj.br/;N/A
A. Diekmann;conf/efdbs/HodingSCSBDHSST99;Universidad del Magdalena;http://www.unimagdalena.edu.co/;N/A
A. Dutkowski;conf/edbt/BelcastroDKKMMMSST88;Saybrook Institute;http://www.saybrook.org/;N/A
A. E. Eiben;conf/mfdbs/Eiben89;Universidad de Monterrey;http://www.udem.edu.mx/;N/A
A. E. Lang;journals/tkde/AgrawalAL94|conf/icde/AgrawalAL91;British College of Osteopathic Medicine;http://www.bcom.ac.uk/;N/A
A. E. Oldhoeft;conf/isca/RichardsO74;Haramaya University;http://www.haramaya.edu.et/;N/A
A. Eiger;conf/icde/DecorteEKK92;Fachhochschulstudiengänge Wels;http://www.fh-wels.at/;N/A
A. F. Lewit;conf/sigir/BuckleyL85;University of Benin;http://www.uniben.edu/;N/A
A. F. Umar Khan;journals/aim/SenatorGWCKKLMW95;Kanazawa University;http://www.kanazawa-u.ac.jp/;N/A
A. Fedeli;conf/ds/BracchiFP74;Universidade Vale do Rio Doce;http://www.univale.br/;N/A
A. Fukuda;journals/ijmms/TokudaF93;Universidade Estadual de Campinas;http://www.unicamp.br/;N/A
A. G. Shved;conf/adbis/VetoshkinGCS94;Mitsubishi Electric;;N/A
A. Goralciková;conf/mfcs/GoralcikovaK79;Sanofi;;N/A
A. Gunton;journals/cj/Gunton70;Université de Caen Basse Normandie;http://www.unicaen.fr/;N/A
A. H. G. Rinnooy Kan;journals/cacm/LagewegLK82;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/;N/A
A. H. Tan;journals/tkde/LowLTT91;Zhengzhou University of Technology;http://www.zzut.edu.cn/;N/A
A. Inkeri Verkamo;journals/datamine/MannilaTV97|conf/sigmetrics/Verkamo85|conf/pkdd/AhonenHKV97|conf/kdd/MannilaTV94|conf/kdd/MannilaTV95|conf/cikm/KlemettinenMRTV94;International Culinary Institute (ICI);http://www.ici-luzern.com/;N/A
A. J. Cole;journals/spe/ColeM82;Universität Fridericana Karlsruhe (Technische Hochschule);http://www.uni-karlsruhe.de/;N/A
A. J. G. Babu;journals/tods/RameshBK89;Sony;;N/A
A. J. Herbert;journals/sigops/NeedhamHM83;Catholic University of Pusan;http://www.cup.ac.kr/;N/A
A. J. Kfoury;conf/caap/KfouryTU90|conf/stoc/KfouryTU90|conf/lics/KfouryTU87;National Institute of Technology, Trichy;http://www.nitt.edu/;N/A
A. J. M. van Gasteren;journals/ipl/DijkstraFG83;China National Building Material Group;;N/A
A. J. Mayo;journals/sigops/WilkinsonACHMVWW81;Catholic University of Pusan;http://www.cup.ac.kr/;N/A
